respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
10,REF_1,REF_2,REF_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,PRG_1,NAT_1,CTR_1,PRG_2,DSA_1,PRG_3,CTR_2,DSA_2,LIB_1,LIB_2,CTR_3,DSA_3,NAT_2,LIB_3,NAT_3
11,NAT_1,NAT_2,CON_1,CON_2,NAT_3,CON_3,REF_1,REF_2,REF_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,PRG_1,PRG_2,DSA_1,LIB_1,LIB_2,SD_1,DSA_2,DSA_3,SD_2,LIB_3,PRG_3,SD_3
12,REF_1,CTR_1,STY_1,CTR_2,CON_1,CON_2,CON_3,CTR_3,REF_2,REF_3,STY_2,STY_3,SD_1,SD_2,SD_3,NAT_1,NAT_2,NAT_3,DSA_1,LIB_1,PRG_1,LIB_2,LIB_3,PRG_2,DSA_2,PRG_3,DSA_3
13,STY_1,REF_1,REF_2,REF_3,STY_2,STY_3,CON_1,CON_2,CON_3,SD_1,NAT_1,NAT_2,SD_2,NAT_3,SD_3,CTR_1,DSA_1,PRG_1,PRG_2,LIB_1,DSA_2,CTR_2,LIB_2,PRG_3,CTR_3,DSA_3,LIB_3
14,CON_1,CON_2,STY_1,REF_1,REF_2,CON_3,REF_3,NAT_1,STY_2,STY_3,NAT_2,NAT_3,SD_1,SD_2,SD_3,DSA_1,PRG_1,PRG_2,PRG_3,LIB_1,DSA_2,CTR_1,LIB_2,LIB_3,DSA_3,CTR_2,CTR_3
15,CON_1,CON_2,CTR_1,CTR_2,CTR_3,CON_3,REF_1,NAT_1,REF_2,REF_3,STY_1,STY_2,NAT_2,STY_3,NAT_3,SD_1,SD_2,SD_3,PRG_1,LIB_1,LIB_2,LIB_3,DSA_1,PRG_2,PRG_3,DSA_2,DSA_3
16,CON_1,CON_2,CON_3,STY_1,REF_1,CTR_1,STY_2,REF_2,CTR_2,CTR_3,STY_3,REF_3,SD_1,SD_2,SD_3,LIB_1,NAT_1,PRG_1,NAT_2,DSA_1,PRG_2,LIB_2,DSA_2,NAT_3,LIB_3,DSA_3,PRG_3
17,CTR_1,CON_1,REF_1,CTR_2,CON_2,CTR_3,CON_3,SD_1,SD_2,STY_1,REF_2,REF_3,SD_3,STY_2,STY_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,PRG_1,DSA_1,PRG_2,DSA_2,PRG_3,DSA_3
18,CON_1,CON_2,CON_3,STY_1,STY_2,STY_3,SD_1,REF_1,REF_2,SD_2,CTR_1,REF_3,SD_3,CTR_2,CTR_3,LIB_1,LIB_2,LIB_3,NAT_1,DSA_1,PRG_1,PRG_2,DSA_2,DSA_3,PRG_3,NAT_2,NAT_3
19,LIB_1,LIB_2,LIB_3,DSA_1,SD_1,SD_2,DSA_2,DSA_3,PRG_1,SD_3,PRG_2,PRG_3,CTR_1,CTR_2,CTR_3,STY_1,STY_2,STY_3,REF_1,REF_2,REF_3,CON_1,CON_2,NAT_1,NAT_2,NAT_3,CON_3
20,STY_1,SD_1,CON_1,CON_2,CON_3,SD_2,SD_3,STY_2,STY_3,REF_1,REF_2,REF_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3,CTR_1,CTR_2,CTR_3,NAT_1,NAT_2,DSA_1,NAT_3,DSA_2,DSA_3
21,DSA_1,LIB_1,PRG_1,PRG_2,PRG_3,DSA_2,LIB_2,LIB_3,DSA_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,NAT_1,CON_1,CON_2,REF_1,CON_3,NAT_2,NAT_3,REF_2,REF_3
22,STY_1,SD_1,STY_2,STY_3,SD_2,SD_3,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,PRG_1,NAT_1,PRG_2,LIB_1,LIB_2,CTR_1,NAT_2,PRG_3,LIB_3,DSA_1,NAT_3,DSA_2,CTR_2,CTR_3,DSA_3
23,NAT_1,NAT_2,NAT_3,REF_1,CON_1,CON_2,REF_2,REF_3,CON_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,LIB_1,CTR_3,PRG_1,PRG_2,SD_1,LIB_2,SD_2,DSA_1,DSA_2,PRG_3,SD_3,LIB_3,DSA_3
24,CON_1,STY_1,STY_2,REF_1,CON_2,STY_3,REF_2,CON_3,REF_3,SD_1,SD_2,SD_3,CTR_1,CTR_2,LIB_1,DSA_1,CTR_3,NAT_1,DSA_2,LIB_2,PRG_1,DSA_3,LIB_3,NAT_2,PRG_2,PRG_3,NAT_3
25,DSA_1,PRG_1,DSA_2,PRG_2,LIB_1,PRG_3,DSA_3,LIB_2,LIB_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,NAT_1,REF_1,NAT_2,CON_1,CON_2,REF_2,CON_3,NAT_3,REF_3
26,DSA_1,DSA_2,DSA_3,SD_1,SD_2,STY_1,SD_3,STY_2,STY_3,PRG_1,PRG_2,LIB_1,PRG_3,LIB_2,LIB_3,CTR_1,CTR_2,CTR_3,REF_1,REF_2,CON_1,REF_3,NAT_1,CON_2,NAT_2,NAT_3,CON_3
27,PRG_1,PRG_2,PRG_3,LIB_1,DSA_1,LIB_2,DSA_2,LIB_3,DSA_3,SD_1,SD_2,SD_3,STY_1,CTR_1,STY_2,STY_3,CTR_2,CTR_3,REF_1,REF_2,REF_3,NAT_1,CON_1,NAT_2,CON_2,NAT_3,CON_3
28,CON_1,CON_2,STY_1,CTR_1,CTR_2,CON_3,CTR_3,STY_2,REF_1,REF_2,STY_3,REF_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,LIB_1,DSA_1,DSA_2,PRG_1,PRG_2,LIB_2,PRG_3,DSA_3,LIB_3
29,STY_1,STY_2,STY_3,DSA_1,SD_1,SD_2,DSA_2,SD_3,DSA_3,REF_1,REF_2,REF_3,NAT_1,PRG_1,CON_1,CTR_1,PRG_2,CON_2,LIB_1,NAT_2,NAT_3,LIB_2,PRG_3,CTR_2,LIB_3,CON_3,CTR_3
30,STY_1,REF_1,STY_2,STY_3,REF_2,REF_3,SD_1,SD_2,SD_3,NAT_1,PRG_1,DSA_1,DSA_2,PRG_2,CON_1,NAT_2,LIB_1,LIB_2,CTR_1,CON_2,PRG_3,CTR_2,LIB_3,CTR_3,CON_3,NAT_3,DSA_3
31,CTR_1,CON_1,CON_2,SD_1,CTR_2,CTR_3,SD_2,SD_3,CON_3,LIB_1,LIB_2,LIB_3,STY_1,REF_1,REF_2,STY_2,REF_3,STY_3,PRG_1,PRG_2,DSA_1,NAT_1,DSA_2,NAT_2,NAT_3,PRG_3,DSA_3
32,CTR_1,CTR_2,CTR_3,STY_1,LIB_1,LIB_2,SD_1,LIB_3,STY_2,STY_3,SD_2,SD_3,REF_1,REF_2,CON_1,CON_2,REF_3,CON_3,PRG_1,PRG_2,NAT_1,PRG_3,DSA_1,DSA_2,DSA_3,NAT_2,NAT_3
33,STY_1,CON_1,CON_2,CTR_1,CTR_2,SD_1,CTR_3,LIB_1,CON_3,STY_2,SD_2,STY_3,LIB_2,LIB_3,SD_3,REF_1,REF_2,REF_3,DSA_1,NAT_1,PRG_1,DSA_2,NAT_2,PRG_2,DSA_3,PRG_3,NAT_3
34,LIB_1,LIB_2,LIB_3,CTR_1,CTR_2,CTR_3,SD_1,SD_2,SD_3,STY_1,REF_1,STY_2,STY_3,CON_1,REF_2,REF_3,CON_2,CON_3,DSA_1,DSA_2,DSA_3,NAT_1,NAT_2,PRG_1,PRG_2,NAT_3,PRG_3
35,CTR_1,REF_1,CTR_2,REF_2,CTR_3,STY_1,CON_1,REF_3,STY_2,STY_3,CON_2,CON_3,LIB_1,NAT_1,NAT_2,SD_1,NAT_3,SD_2,LIB_2,LIB_3,PRG_1,DSA_1,PRG_2,DSA_2,SD_3,DSA_3,PRG_3
36,CTR_1,CTR_2,CTR_3,STY_1,CON_1,STY_2,CON_2,STY_3,CON_3,REF_1,REF_2,REF_3,SD_1,SD_2,SD_3,LIB_1,LIB_2,LIB_3,DSA_1,NAT_1,DSA_2,PRG_1,PRG_2,NAT_2,DSA_3,NAT_3,PRG_3
37,REF_1,REF_2,STY_1,STY_2,REF_3,STY_3,SD_1,SD_2,SD_3,CTR_1,CTR_2,NAT_1,CTR_3,LIB_1,CON_1,PRG_1,PRG_2,NAT_2,CON_2,NAT_3,CON_3,PRG_3,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3
38,REF_1,REF_2,REF_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,NAT_1,PRG_1,CTR_1,SD_1,SD_2,LIB_1,DSA_1,LIB_2,NAT_2,PRG_2,NAT_3,CTR_2,CTR_3,SD_3,LIB_3,DSA_2,PRG_3,DSA_3
39,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,LIB_1,STY_1,STY_2,LIB_2,STY_3,LIB_3,PRG_1,PRG_2,PRG_3,CTR_1,CTR_2,CTR_3,REF_1,CON_1,CON_2,REF_2,NAT_1,REF_3,CON_3,NAT_2,NAT_3
40,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,DSA_1,DSA_2,DSA_3,REF_1,REF_2,REF_3,CTR_1,CTR_2,LIB_1,LIB_2,CTR_3,LIB_3,NAT_1,PRG_1,NAT_2,CON_1,CON_2,NAT_3,PRG_2,CON_3,PRG_3
41,CON_1,NAT_1,CON_2,CON_3,REF_1,NAT_2,NAT_3,CTR_1,CTR_2,REF_2,REF_3,CTR_3,STY_1,STY_2,STY_3,PRG_1,DSA_1,LIB_1,DSA_2,SD_1,LIB_2,PRG_2,LIB_3,DSA_3,SD_2,PRG_3,SD_3
42,LIB_1,DSA_1,DSA_2,LIB_2,DSA_3,LIB_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,PRG_1,PRG_2,PRG_3,REF_1,CON_1,REF_2,REF_3,NAT_1,CON_2,CON_3,NAT_2,NAT_3
43,PRG_1,PRG_2,SD_1,PRG_3,DSA_1,LIB_1,DSA_2,DSA_3,STY_1,LIB_2,SD_2,LIB_3,SD_3,STY_2,STY_3,CTR_1,CTR_2,CTR_3,REF_1,REF_2,REF_3,CON_1,NAT_1,CON_2,NAT_2,CON_3,NAT_3
44,SD_1,LIB_1,LIB_2,SD_2,LIB_3,SD_3,PRG_1,PRG_2,STY_1,PRG_3,DSA_1,DSA_2,STY_2,STY_3,DSA_3,CTR_1,CTR_2,CTR_3,REF_1,REF_2,REF_3,NAT_1,CON_1,CON_2,CON_3,NAT_2,NAT_3
45,SD_1,SD_2,SD_3,DSA_1,DSA_2,DSA_3,STY_1,LIB_1,STY_2,LIB_2,LIB_3,STY_3,CTR_1,CTR_2,CTR_3,PRG_1,REF_1,PRG_2,PRG_3,REF_2,REF_3,NAT_1,CON_1,NAT_2,CON_2,CON_3,NAT_3
46,PRG_1,PRG_2,LIB_1,PRG_3,LIB_2,DSA_1,DSA_2,DSA_3,LIB_3,SD_1,SD_2,SD_3,STY_1,STY_2,CTR_1,STY_3,CTR_2,CTR_3,NAT_1,CON_1,REF_1,CON_2,REF_2,NAT_2,CON_3,REF_3,NAT_3
47,STY_1,STY_2,CON_1,REF_1,STY_3,CON_2,REF_2,SD_1,SD_2,REF_3,CON_3,SD_3,PRG_1,NAT_1,CTR_1,DSA_1,DSA_2,PRG_2,PRG_3,DSA_3,LIB_1,LIB_2,CTR_2,NAT_2,CTR_3,LIB_3,NAT_3
48,SD_1,SD_2,STY_1,DSA_1,STY_2,SD_3,DSA_2,DSA_3,STY_3,LIB_1,CTR_1,LIB_2,LIB_3,CTR_2,REF_1,CTR_3,REF_2,REF_3,PRG_1,CON_1,NAT_1,PRG_2,NAT_2,CON_2,NAT_3,PRG_3,CON_3
49,NAT_1,REF_1,REF_2,NAT_2,NAT_3,REF_3,CON_1,CON_2,CON_3,STY_1,STY_2,STY_3,CTR_1,LIB_1,DSA_1,CTR_2,LIB_2,DSA_2,LIB_3,SD_1,SD_2,PRG_1,CTR_3,PRG_2,PRG_3,SD_3,DSA_3
50,DSA_1,STY_1,SD_1,STY_2,DSA_2,STY_3,DSA_3,SD_2,SD_3,REF_1,REF_2,REF_3,CON_1,PRG_1,LIB_1,CTR_1,CON_2,NAT_1,LIB_2,PRG_2,CTR_2,NAT_2,CTR_3,LIB_3,NAT_3,PRG_3,CON_3
51,DSA_1,DSA_2,SD_1,DSA_3,SD_2,STY_1,STY_2,SD_3,STY_3,REF_1,REF_2,REF_3,LIB_1,PRG_1,LIB_2,PRG_2,CTR_1,CTR_2,CTR_3,NAT_1,PRG_3,CON_1,CON_2,NAT_2,CON_3,NAT_3,LIB_3
52,SD_1,SD_2,SD_3,STY_1,LIB_1,STY_2,STY_3,LIB_2,PRG_1,PRG_2,PRG_3,LIB_3,DSA_1,REF_1,DSA_2,CTR_1,DSA_3,CTR_2,CTR_3,REF_2,REF_3,CON_1,CON_2,NAT_1,CON_3,NAT_2,NAT_3
53,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,STY_1,STY_2,STY_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,CTR_1,CTR_2,LIB_1,CTR_3,LIB_2,DSA_1,LIB_3,PRG_1,PRG_2,DSA_2,PRG_3,DSA_3
54,LIB_1,SD_1,CTR_1,CTR_2,LIB_2,LIB_3,STY_1,CON_1,CON_2,SD_2,SD_3,CON_3,CTR_3,STY_2,STY_3,REF_1,REF_2,REF_3,NAT_1,DSA_1,PRG_1,DSA_2,NAT_2,NAT_3,PRG_2,PRG_3,DSA_3
55,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,DSA_1,DSA_2,DSA_3,PRG_1,NAT_1,CTR_1,PRG_2,CTR_2,NAT_2,LIB_1,LIB_2,PRG_3,LIB_3,NAT_3,CTR_3
56,CON_1,CTR_1,CON_2,CON_3,CTR_2,CTR_3,STY_1,REF_1,REF_2,NAT_1,REF_3,STY_2,NAT_2,STY_3,NAT_3,SD_1,SD_2,SD_3,DSA_1,LIB_1,DSA_2,PRG_1,LIB_2,PRG_2,DSA_3,PRG_3,LIB_3
57,SD_1,DSA_1,DSA_2,DSA_3,STY_1,STY_2,STY_3,SD_2,SD_3,CON_1,LIB_1,NAT_1,REF_1,PRG_1,NAT_2,CON_2,PRG_2,NAT_3,CTR_1,LIB_2,CON_3,REF_2,REF_3,PRG_3,CTR_2,CTR_3,LIB_3
58,LIB_1,LIB_2,PRG_1,PRG_2,PRG_3,SD_1,LIB_3,SD_2,SD_3,STY_1,CTR_1,CTR_2,CTR_3,STY_2,DSA_1,STY_3,DSA_2,DSA_3,REF_1,REF_2,REF_3,NAT_1,NAT_2,NAT_3,CON_1,CON_2,CON_3
59,LIB_1,LIB_2,LIB_3,SD_1,STY_1,STY_2,STY_3,CTR_1,SD_2,DSA_1,DSA_2,SD_3,CTR_2,DSA_3,PRG_1,CTR_3,PRG_2,PRG_3,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3
60,STY_1,SD_1,STY_2,STY_3,SD_2,SD_3,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,DSA_1,LIB_1,DSA_2,NAT_1,PRG_1,CTR_1,CTR_2,LIB_2,CTR_3,LIB_3,PRG_2,NAT_2,NAT_3,PRG_3,DSA_3
61,SD_1,CON_1,SD_2,SD_3,CON_2,CON_3,REF_1,STY_1,REF_2,REF_3,STY_2,STY_3,CTR_1,CTR_2,CTR_3,LIB_1,LIB_2,LIB_3,PRG_1,NAT_1,PRG_2,NAT_2,DSA_1,DSA_2,DSA_3,PRG_3,NAT_3
62,LIB_1,LIB_2,LIB_3,SD_1,SD_2,CTR_1,CTR_2,SD_3,CTR_3,STY_1,STY_2,STY_3,DSA_1,PRG_1,DSA_2,REF_1,REF_2,PRG_2,PRG_3,DSA_3,REF_3,CON_1,CON_2,NAT_1,NAT_2,CON_3,NAT_3
63,REF_1,CON_1,REF_2,REF_3,CON_2,CON_3,STY_1,STY_2,STY_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,LIB_1,CTR_1,DSA_1,CTR_2,LIB_2,DSA_2,LIB_3,DSA_3,PRG_1,PRG_2,CTR_3,PRG_3
64,LIB_1,LIB_2,SD_1,CTR_1,CTR_2,LIB_3,CTR_3,SD_2,CON_1,STY_1,SD_3,CON_2,STY_2,CON_3,STY_3,REF_1,REF_2,REF_3,NAT_1,NAT_2,PRG_1,PRG_2,DSA_1,DSA_2,NAT_3,PRG_3,DSA_3
65,NAT_1,NAT_2,REF_1,NAT_3,REF_2,REF_3,CON_1,STY_1,CON_2,STY_2,CON_3,STY_3,DSA_1,PRG_1,PRG_2,SD_1,DSA_2,PRG_3,DSA_3,LIB_1,LIB_2,CTR_1,SD_2,SD_3,CTR_2,CTR_3,LIB_3
66,SD_1,CON_1,SD_2,STY_1,SD_3,CON_2,CON_3,STY_2,STY_3,LIB_1,LIB_2,REF_1,LIB_3,REF_2,REF_3,CTR_1,CTR_2,CTR_3,PRG_1,DSA_1,PRG_2,DSA_2,PRG_3,NAT_1,NAT_2,NAT_3,DSA_3
67,NAT_1,CON_1,NAT_2,CON_2,CON_3,NAT_3,REF_1,REF_2,REF_3,CTR_1,CTR_2,CTR_3,STY_1,STY_2,STY_3,PRG_1,LIB_1,SD_1,LIB_2,DSA_1,LIB_3,PRG_2,PRG_3,DSA_2,SD_2,DSA_3,SD_3
68,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,REF_1,REF_2,REF_3,DSA_1,DSA_2,DSA_3,CON_1,LIB_1,CON_2,CON_3,PRG_1,LIB_2,LIB_3,PRG_2,PRG_3,CTR_1,NAT_1,CTR_2,NAT_2,CTR_3,NAT_3
69,SD_1,STY_1,STY_2,STY_3,SD_2,REF_1,SD_3,REF_2,REF_3,CON_1,CON_2,CON_3,DSA_1,NAT_1,CTR_1,PRG_1,NAT_2,DSA_2,CTR_2,PRG_2,LIB_1,LIB_2,PRG_3,LIB_3,NAT_3,DSA_3,CTR_3
70,SD_1,SD_2,SD_3,STY_1,STY_2,REF_1,STY_3,REF_2,REF_3,CON_1,CON_2,CON_3,CTR_1,CTR_2,CTR_3,DSA_1,LIB_1,DSA_2,DSA_3,NAT_1,LIB_2,PRG_1,LIB_3,PRG_2,NAT_2,PRG_3,NAT_3
71,CTR_1,STY_1,STY_2,CTR_2,CTR_3,STY_3,SD_1,SD_2,SD_3,LIB_1,REF_1,LIB_2,REF_2,LIB_3,REF_3,CON_1,CON_2,CON_3,NAT_1,DSA_1,PRG_1,DSA_2,NAT_2,DSA_3,NAT_3,PRG_2,PRG_3
72,STY_1,REF_1,REF_2,REF_3,STY_2,STY_3,CON_1,CON_2,NAT_1,CON_3,NAT_2,NAT_3,DSA_1,CTR_1,SD_1,SD_2,LIB_1,PRG_1,CTR_2,DSA_2,PRG_2,DSA_3,LIB_2,CTR_3,PRG_3,LIB_3,SD_3
73,SD_1,CON_1,SD_2,STY_1,CON_2,STY_2,SD_3,STY_3,CON_3,REF_1,REF_2,REF_3,LIB_1,LIB_2,LIB_3,CTR_1,CTR_2,CTR_3,PRG_1,PRG_2,PRG_3,DSA_1,NAT_1,NAT_2,DSA_2,DSA_3,NAT_3
74,SD_1,LIB_1,SD_2,LIB_2,SD_3,CTR_1,LIB_3,CTR_2,CTR_3,STY_1,REF_1,STY_2,STY_3,PRG_1,REF_2,CON_1,CON_2,REF_3,CON_3,PRG_2,PRG_3,DSA_1,NAT_1,NAT_2,DSA_2,NAT_3,DSA_3
75,LIB_1,LIB_2,LIB_3,CTR_1,SD_1,CTR_2,SD_2,CTR_3,SD_3,STY_1,STY_2,STY_3,REF_1,DSA_1,REF_2,REF_3,DSA_2,DSA_3,PRG_1,PRG_2,CON_1,CON_2,PRG_3,NAT_1,CON_3,NAT_2,NAT_3
76,CON_1,CON_2,REF_1,STY_1,CON_3,STY_2,STY_3,REF_2,REF_3,SD_1,SD_2,SD_3,CTR_1,CTR_2,DSA_1,PRG_1,DSA_2,LIB_1,NAT_1,PRG_2,CTR_3,LIB_2,NAT_2,PRG_3,NAT_3,LIB_3,DSA_3
77,STY_1,CTR_1,CTR_2,STY_2,STY_3,SD_1,CTR_3,SD_2,SD_3,REF_1,REF_2,REF_3,LIB_1,LIB_2,LIB_3,NAT_1,CON_1,CON_2,NAT_2,PRG_1,DSA_1,PRG_2,CON_3,DSA_2,NAT_3,PRG_3,DSA_3
78,LIB_1,LIB_2,LIB_3,CTR_1,PRG_1,SD_1,STY_1,PRG_2,PRG_3,SD_2,SD_3,STY_2,CTR_2,STY_3,CTR_3,DSA_1,DSA_2,DSA_3,REF_1,REF_2,REF_3,CON_1,CON_2,NAT_1,NAT_2,CON_3,NAT_3
79,NAT_1,NAT_2,CON_1,CON_2,NAT_3,REF_1,CON_3,REF_2,REF_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,SD_1,SD_2,PRG_1,SD_3,LIB_1,DSA_1,DSA_2,PRG_2,LIB_2,DSA_3,LIB_3,PRG_3
80,CON_1,CON_2,CON_3,REF_1,STY_1,REF_2,STY_2,REF_3,STY_3,SD_1,SD_2,SD_3,CTR_1,CTR_2,CTR_3,NAT_1,NAT_2,NAT_3,DSA_1,LIB_1,PRG_1,PRG_2,DSA_2,LIB_2,LIB_3,DSA_3,PRG_3
81,REF_1,STY_1,REF_2,STY_2,REF_3,STY_3,SD_1,CON_1,SD_2,CON_2,CTR_1,SD_3,CTR_2,CON_3,CTR_3,LIB_1,PRG_1,NAT_1,PRG_2,NAT_2,DSA_1,DSA_2,LIB_2,DSA_3,PRG_3,NAT_3,LIB_3
82,CON_1,CON_2,CON_3,SD_1,STY_1,SD_2,REF_1,STY_2,REF_2,CTR_1,CTR_2,STY_3,CTR_3,REF_3,SD_3,LIB_1,PRG_1,LIB_2,LIB_3,DSA_1,NAT_1,PRG_2,DSA_2,NAT_2,DSA_3,NAT_3,PRG_3
83,STY_1,CTR_1,CON_1,CON_2,CTR_2,CON_3,CTR_3,STY_2,STY_3,SD_1,REF_1,REF_2,SD_2,REF_3,SD_3,LIB_1,LIB_2,LIB_3,DSA_1,PRG_1,DSA_2,PRG_2,PRG_3,DSA_3,NAT_1,NAT_2,NAT_3
84,SD_1,SD_2,SD_3,STY_1,STY_2,CON_1,STY_3,CON_2,REF_1,CON_3,REF_2,REF_3,LIB_1,LIB_2,LIB_3,CTR_1,CTR_2,CTR_3,PRG_1,DSA_1,NAT_1,PRG_2,PRG_3,NAT_2,DSA_2,DSA_3,NAT_3
85,REF_1,CTR_1,REF_2,CTR_2,REF_3,CTR_3,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,CON_1,CON_2,CON_3,PRG_1,LIB_1,DSA_1,LIB_2,LIB_3,DSA_2,DSA_3,NAT_1,NAT_2,PRG_2,NAT_3,PRG_3
86,PRG_1,PRG_2,LIB_1,PRG_3,DSA_1,DSA_2,LIB_2,SD_1,LIB_3,SD_2,SD_3,DSA_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,CON_1,REF_1,NAT_1,CON_2,NAT_2,NAT_3,REF_2,REF_3,CON_3
87,LIB_1,LIB_2,LIB_3,SD_1,SD_2,SD_3,CTR_1,STY_1,CTR_2,STY_2,CTR_3,STY_3,PRG_1,PRG_2,REF_1,PRG_3,REF_2,REF_3,DSA_1,DSA_2,DSA_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3
88,LIB_1,LIB_2,LIB_3,CTR_1,CTR_2,SD_1,SD_2,SD_3,CTR_3,STY_1,STY_2,STY_3,REF_1,REF_2,REF_3,CON_1,CON_2,CON_3,PRG_1,PRG_2,NAT_1,PRG_3,DSA_1,NAT_2,DSA_2,DSA_3,NAT_3
89,PRG_1,PRG_2,SD_1,LIB_1,DSA_1,PRG_3,LIB_2,LIB_3,DSA_2,DSA_3,SD_2,SD_3,STY_1,STY_2,STY_3,CTR_1,CTR_2,CTR_3,CON_1,NAT_1,NAT_2,REF_1,CON_2,REF_2,REF_3,CON_3,NAT_3
